Name,Ticker,Coupon,Maturity,Maturity Type,Country/Region,Currency,Identifier,Bloomberg Composite Rating,Ask Price,Source
India Government Bond,IGB,7.09,25-11-2074,AT MATURITY,IN,INR,YT3552270,NR,94,NDSI
India Government Bond,IGB,7.32,13-11-2030,AT MATURITY,IN,INR,ZH9979647,NR,103.36,NDSI
India Government Bond,IGB,8.13,22-06-2045,AT MATURITY,IN,INR,EK9788051,NR,#N/A N/A,NDSI
India Government Bond,IGB,7.37,23-01-2054,AT MATURITY,IN,INR,ZF3604773,NR,99.434,BVAL
India Government Bond,IGB,6.28,14-07-2032,AT MATURITY,IN,INR,YM0959796,NR,99.15,NDSI
India Government Bond,IGB,7.57,17-06-2033,AT MATURITY,IN,INR,ZS6390430,#N/A N/A,104.8725,NDSI
India Government Bond,IGB,7.16,20-09-2050,AT MATURITY,IN,INR,BH8290695,NR,97.5,NDSI
India Government Bond,IGB,8.24,15-02-2027,AT MATURITY,IN,INR,EG2045466,NR,101.4,NDSI
India Government Bond,IGB,6.45,07-10-2029,AT MATURITY,IN,INR,ZR8860481,NR,100.3,NDSI
India Government Bond,IGB,6.19,16-09-2034,AT MATURITY,IN,INR,BJ6920802,NR,96.48,NDSI
India Government Bond,IGB,6.76,22-02-2061,AT MATURITY,IN,INR,BO0818662,NR,90.5,NDSI
India Government Bond,IGB,7.5,10-08-2034,AT MATURITY,IN,INR,ED5686370,NR,104.4,NDSI
India Government Bond,IGB,6.79,02-12-2034,AT MATURITY,IN,INR,YT5275847,NR,100.9,NDSI
India Government Bond,IGB,6.98,16-12-2054,AT MATURITY,IN,INR,YT8931255,NR,96.18,NDSI
India Government Bond,IGB,5.77,03-08-2030,AT MATURITY,IN,INR,BK6864213,NR,97.8,NDSI
India Government Bond,IGB,8.28,15-02-2032,AT MATURITY,IN,INR,EG2045540,NR,#N/A N/A,NDSI
India Government Bond,IGB,7.88,19-03-2030,AT MATURITY,IN,INR,EK8943046,#N/A N/A,105,NDSI
India Government Bond,IGB,7.29,27-01-2033,AT MATURITY,IN,INR,ZM5695535,NR,102.59,NDSI
India Government Bond,IGB,7.02,27-05-2027,AT MATURITY,IN,INR,YX2229517,NR,100.985,NDSI
India Government Bond,IGB,6.95,16-12-2061,AT MATURITY,IN,INR,BS4738958,NR,92.445,NDSI
India Government Bond,IGB,7.5,27-04-2056,AT MATURITY,IN,INR,DJ0693791,NR,#N/A N/A,NDSI
India Government Bond,IGB,6.94,11-05-2036,AT MATURITY,IN,INR,DN7336510,#N/A N/A,#N/A N/A,BGN
India Government Bond Coupon Strips,IGBCS,0,19-01-2030,AT MATURITY,IN,INR,DN7358894,#N/A N/A,80.694,BVAL
India Government Bond,IGB,7.95,28-08-2032,AT MATURITY,IN,INR,EC6654494,NR,106.85,NDSI
India Government Bond,IGB,7.4,09-09-2035,AT MATURITY,IN,INR,EF0877797,NR,103.82,NDSI
India Government Bond,IGB,8.6,02-06-2028,AT MATURITY,IN,INR,EK2984897,NR,104.44,NDSI
India Government Bond,IGB,6.92,18-11-2039,AT MATURITY,IN,INR,YT1622844,NR,99.8,NDSI
India Government Bond,IGB,6.62,28-11-2051,AT MATURITY,IN,INR,AL3742155,#N/A N/A,93.75,NDSI
India Government Bond Coupon Strips,IGBCS,0,12-06-2031,AT MATURITY,IN,INR,BN3647383,#N/A N/A,71.6799,NDSI
India Government Bond,IGB,8.83,12-12-2041,AT MATURITY,IN,INR,EI8993285,NR,116.4,NDSI
India Government Bond,IGB,7.59,20-03-2029,AT MATURITY,IN,INR,QJ1691121,#N/A N/A,103.5,NDSI
India Government Bond Coupon Strips,IGBCS,0,22-10-2031,AT MATURITY,IN,INR,YW0129778,#N/A N/A,71.656,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-07-2030,AT MATURITY,IN,INR,DN7358886,#N/A N/A,78.074,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-01-2032,AT MATURITY,IN,INR,DN7358910,#N/A N/A,70.465,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-07-2032,AT MATURITY,IN,INR,DN7358951,#N/A N/A,68.092,BVAL
India Government Bond,IGB,8.15,24-11-2026,AT MATURITY,IN,INR,EK6083969,NR,#N/A N/A,NDSI
India Government Bond Coupon Strips,IGBCS,0,25-11-2029,AT MATURITY,IN,INR,YT6425573,#N/A N/A,81.508,BVAL
India Government Bond,IGB,6.1,12-07-2031,AT MATURITY,IN,INR,BQ4051935,NR,98.71,NDSI
India Government Bond Coupon Strips,IGBCS,0,06-11-2031,AT MATURITY,IN,INR,AX0311982,#N/A N/A,71.454,BVAL
India Government Bond,IGB,7.62,15-09-2039,AT MATURITY,IN,INR,AX9926384,#N/A N/A,105.55,NDSI
India Government Bond Coupon Strips,IGBCS,0,22-02-2030,AT MATURITY,IN,INR,BQ2982297,#N/A N/A,80.195,BVAL
India Government Bond,IGB,6.01,25-03-2028,AT MATURITY,IN,INR,ED0906476,NR,#N/A N/A,NDSI
India Government Bond Coupon Strips,IGBCS,0,25-05-2031,AT MATURITY,IN,INR,YT6425839,#N/A N/A,73.699,BVAL
India Government Bond,IGB,8.3,31-12-2042,AT MATURITY,IN,INR,EJ4950378,#N/A N/A,112.05,NDSI
India Government Bond,IGB,8.97,05-12-2030,AT MATURITY,IN,INR,EI8925816,NR,109.45,NDSI
India Government Bond,IGB,7.1,27-01-2028,AT MATURITY,IN,INR,ZM5695337,NR,101.503,BVAL
India Government Bond,IGB,6.22,16-03-2035,AT MATURITY,IN,INR,BM1186600,NR,#N/A N/A,NDSI
India Government Bond Coupon Strips,IGBCS,0,22-08-2026,AT MATURITY,IN,INR,BQ2980515,#N/A N/A,99.6578,NDSI
India Government Bond,IGB,6.45,30-10-2034,AT MATURITY,IN,INR,BR1503282,NR,102.8,NDSI
India Government Bond Coupon Strips,IGBCS,0,18-11-2031,AT MATURITY,IN,INR,DM1009685,#N/A N/A,71.293,BVAL
India Government Bond,IGB,10.18,11-09-2026,AT MATURITY,IN,INR,EC4476171,NR,100.419,BVAL
India Government Bond,IGB,8.33,07-06-2036,AT MATURITY,IN,INR,EF4755080,NR,110.901,BVAL
India Government Bond,IGB,8.28,21-09-2027,AT MATURITY,IN,INR,EG8695165,NR,102.8,NDSI
India Government Bond,IGB,7.61,09-05-2030,AT MATURITY,IN,INR,JK9847746,#N/A N/A,#N/A N/A,NDSI
India Government Bond,IGB,7.72,26-10-2055,AT MATURITY,IN,INR,QJ2217983,#N/A N/A,102.58,NDSI
India Government Bond Coupon Strips,IGBCS,0,25-05-2029,AT MATURITY,IN,INR,YT6425490,#N/A N/A,84.245,BVAL
India Government Bond Coupon Strips,IGBCS,0,22-04-2031,AT MATURITY,IN,INR,YW0129711,#N/A N/A,74.153,BVAL
India Government Bond,IGB,7.69,17-06-2043,AT MATURITY,IN,INR,ZS2775071,#N/A N/A,#N/A N/A,NDSI
India Government Bond Coupon Strips,IGBCS,0,12-12-2028,AT MATURITY,IN,INR,BQ5895538,#N/A N/A,86.69,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-01-2031,AT MATURITY,IN,INR,DN7358902,#N/A N/A,75.448,BVAL
India Special Government Bond,INDSPB,8.23,12-02-2027,AT MATURITY,IN,INR,EG1953090,NR,#N/A N/A,BGN
India Government Bond,IGB,8.26,02-08-2027,AT MATURITY,IN,INR,EG7052863,NR,102.5,NDSI
India Government Bond,IGB,6.97,06-09-2026,AT MATURITY,IN,INR,QZ3755704,#N/A N/A,100.14,NDSI
India Government Bond,IGB,5.91,30-06-2028,AT MATURITY,IN,INR,YN6552445,NR,99.816,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-11-2036,AT MATURITY,IN,INR,YT6426845,#N/A N/A,49.888,BVAL
India Government Bond Coupon Strips,IGBCS,0,22-04-2027,AT MATURITY,IN,INR,YX5583126,#N/A N/A,95.926,BVAL
India Government Bond,IGB,7.24,11-12-2033,AT MATURITY,IN,INR,ZG5421653,NR,102.558,BVAL
India Government Bond,IGB,7.25,13-11-2028,AT MATURITY,IN,INR,ZH9979688,NR,102.317,BVAL
India Government Bond,IGB,7.63,17-06-2059,AT MATURITY,IN,INR,ZS4091808,#N/A N/A,100.8325,NDSI
India Government Bond,IGB,6.64,16-06-2035,AT MATURITY,IN,INR,BO9418845,NR,98.9,NDSI
